,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,AVERAGE ALLOWED CHARGES,AVERAGE PAYMENT,CARDIOVASCULAR,DIGESTIVE SYSTEM,EAR,ENDOCRINE SYSTEM,EYE,FEMALE GENITALIA,INTEGUMENTARY,LYMPHATIC,MALE GENITALIA,MATERNITY,MEDIASTINUM,MUSCULOSKELETAL,RESPIRATORY,URINARY,y
2,33010.0,TOTAL,5151.0,562626.12,436220.88,109.22658124635993,84.68663948747816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,33011.0,TOTAL,84.0,9551.17,7430.49,113.70440476190477,88.45821428571428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,33015.0,TOTAL,1025.0,497290.05,387598.81,485.1610243902439,378.14518048780485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,33020.0,TOTAL,270.0,165726.14,127293.22,613.8005185185185,471.4563703703704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,33025.0,TOTAL,6653.0,4070839.95,3162574.29,611.8803472117842,475.36063279723436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,33030.0,TOTAL,554.0,809923.48,629799.3200000001,1461.9557400722022,1136.8218772563177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,33031.0,TOTAL,324.0,529814.96,414261.19,1635.2313580246912,1278.5839197530863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
23,33050.0,TOTAL,111.0,53466.75999999999,41895.46,481.6825225225224,377.43657657657656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,33120.0,TOTAL,943.0,1297464.33,1012453.54,1375.8900636267233,1073.6516861081654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,33130.0,TOTAL,64.0,48207.71,36634.67,753.24546875,572.41671875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,33140.0,TOTAL,56.0,61775.77,48344.32000000001,1103.1387499999998,863.2914285714287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,33141.0,TOTAL,803.0,69941.95,54220.79,87.10080946450809,67.52277708592777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,33202.0,TOTAL,1661.0,1076257.08,836063.86,647.9573028296207,503.3497049969898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,33203.0,TOTAL,120.0,89950.43,69781.07,749.5869166666666,581.5089166666668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
44,33206.0,TOTAL,1017.0,487988.68,379650.57,479.8315437561455,373.304395280236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
47,33207.0,TOTAL,18374.0,9059732.4,7069472.649999999,493.073495156199,384.75414444323496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,33208.0,TOTAL,104922.0,57849755.13,45087579.16,551.3596302967919,429.7247399020224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54,33210.0,TOTAL,10226.0,1796028.08,1392532.12,175.6334911011148,136.17564247995307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57,33211.0,TOTAL,218.0,35730.87,27604.79,163.90307339449544,126.62747706422019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61,33212.0,TOTAL,1009.0,354451.33,274523.31,351.2897224975223,272.0746382556987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,33213.0,TOTAL,2961.0,1180337.86,916747.72,398.6281188787572,309.6074704491726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
68,33214.0,TOTAL,557.0,275655.49,213744.08,494.8931597845601,383.7416157989228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,33215.0,TOTAL,3832.0,1018372.98,792678.93,265.7549530271399,206.8577583507307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,33216.0,TOTAL,3667.0,1213808.4,943622.24,331.00856285792196,257.32812653395143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,33217.0,TOTAL,759.0,229442.33,179171.13,302.29555994729907,236.06209486166009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
82,33218.0,TOTAL,682.0,233203.88,180607.1,341.94117302052786,264.8197947214076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
84,33220.0,TOTAL,140.0,50482.28,39343.06,360.5877142857143,281.02185714285713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,33221.0,TOTAL,382.0,175256.52,136270.7,458.7867015706806,356.7295811518325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
91,33222.0,TOTAL,1401.0,428282.08,332346.68,305.69741613133476,237.2210421127766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
95,33223.0,TOTAL,1124.0,441629.4,342956.23,392.90871886121,305.12120106761563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
99,33224.0,TOTAL,1709.0,766514.97,596139.51,448.51665886483323,348.8235868929198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
103,33225.0,TOTAL,33665.0,16151309.57,12594923.82,479.7656191890688,374.12516916679044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
106,33226.0,TOTAL,472.0,226337.35,176244.6,479.5282838983051,373.39957627118645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
110,33227.0,TOTAL,7015.0,2918541.2,2262421.72,416.04293656450466,322.51200570206703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
114,33228.0,TOTAL,39453.0,18029362.24,13977901.53,456.9833026639292,354.2924880237244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
118,33229.0,TOTAL,4206.0,2132253.49,1662418.29,506.9551806942464,395.24923680456493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
122,33230.0,TOTAL,250.0,249740.62,194930.87,998.96248,779.72348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
125,33231.0,TOTAL,197.0,167750.61,130514.71,851.5259390862943,662.5112182741117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
129,33233.0,TOTAL,9383.0,1480341.79,1155484.39,157.76849515080465,123.14658318235105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
133,33234.0,TOTAL,2678.0,1063551.62,831216.6599999999,397.1439955190441,310.3871023151605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
136,33235.0,TOTAL,3503.0,2034135.64,1586742.5,580.6838823865259,452.96674279189267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
139,33236.0,TOTAL,32.0,19430.52,15176.59,607.20375,474.2684375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
142,33237.0,TOTAL,53.0,28885.37,22642.61,545.0069811320755,427.2190566037736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
145,33238.0,TOTAL,132.0,83074.58,64540.65,629.3528787878788,488.9443181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
149,33240.0,TOTAL,654.0,359446.61,280081.38,549.6125535168195,428.2589908256881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
153,33241.0,TOTAL,7487.0,978124.14,759782.14,130.64299986643516,101.48018431948711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
156,33243.0,TOTAL,322.0,239451.72,186568.32,743.6388819875776,579.4047204968945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
